,last_name,sentence,article_id,race
119,luther,that three years ago approached about holding moment silence in honor birthday slain civil rights leader,2017_403,white
120,taylor,’s got friend in who adds “i love her songwriting,2017_145,white
121,harrison,and are enablers and “hidden figures” is comfort food cinema that insists these women would be getting there on their own soon enough but thanks for help,2017_1500,white
122,ryan,pushed pair past malden catholic’s kyle in final seven minutes contest brought within two by cleaning rebound in front net off point blank shot,2017_392,white
123,desmond,so jotted down matthew,2017_1024,white
124,lew,treasury secretary jacob announced that harriet african abolitionist born into slavery would be new face on $20 replacing president,2017_1620,white
125,robinson,was owner who took on and,2017_1502,white
126,jones,”petrocelli pumped his glove leaped into arms third baseman dalton,2017_910,white
127,tartabull,rolled undershirt sleeve beneath lonborg’s baggy flannel jersey and slathered on his own concoction proprietary mix anti inflammatory cream muscle relaxer and makeup remover before affixing electric heating pads to both shoulders out in dugout chatter was flying as leadoff hitter jose stepped to plate speedy but hitting outfielder from cuba known for playing bongos and singing in clubhouse,2017_1163,white
128,greene,by contrast his victims are sympathetic and blurrier earlier scenes have established algee as soon to break out vocal group dramatics we see them warming to follow and vandellas at local theater and his agent and friend fred jacob as shyer two boal’s well researched script has been based on interviews with and others who were present including melvin “star wars awakens” security guard from nearby store who was at algiers but powerless to intervene ndismukes’s kindness and concern tries to soften edges intolerable situation is one few subtle notes in “detroit ” and finds bitter complicated nobility in character us marine just returned from vietnam who lands at hell,2017_1160,white
129,parks,parks’s “washington government charwoman ” conceptual riff on wood’s iconic painting “american gothic ”,2017_1024,white
130,leroux,jogged off and straight to clubhouse where trainer buddy set to work to keep from stiffening in cold routine would repeat each inning,2017_267,white
131,williams,more than 28 000 roaring fans streamed to fenway one them unfurling banner in left that made clear yaz had emerged from shadow,2017_889,white
132,obama,“they’re not racist ” she reassures him “my father says that he’d vote for if ran for third term ”,2017_1087,api
133,porcello,one hour before and three away from where rick threw first pitch on opening at fenway,2017_429,white
134,walsh,“we are here to talk about race subject that stirs our passions that confuses angers and frightens us topic that many us would avoid altogether ”mayor highlighting city’s recent race dialogues that national conversation on race has been ugly and that “voices in washington” are not helping matter “our role here in should be to take lead “the conversation isn’t just about what has happened in fenway,2017_338,white
135,bigelow,that’s would like to put her audience too with craft and controversy she brought to “zero dark thirty ” “the hurt locker ” and earlier genre based films like “point break ”,2017_1160,white
136,clooney,“suburbicon ” takes what sounds great on paper screenplay by brothers substantially rewritten by and his producing partner cast that includes julianne and and ripely repressed 1950s setting and reduces it to actively unpleasant traffic,2017_1155,white
137,santiago,“first base ” teammates shouted to dazed with pointing looped sidearm throw to at first completing rare triple play,2017_889,white
138,logan,one could imagine that come july more fans would swarm to scream their names and grasp for them than had overrun airport for beatles summer before or dream that by october even police horse working crowd control outside fenway,2017_267,white
139,martin,in montreal expo 67 tourists couldn’t help overhearing staticky sounds or ned so many fans with transistor radios straining to reel in feed,2017_1023,white
140,o’neill,scored first evening followed by nfolsom and to put belmont 3 1 after first,2017_392,white
141,sox,has reported who also owns told herald that would like to rename street for retired slugger born in dominican republic,2017_1096,white
142,mackie,by contrast his victims are sympathetic and blurrier earlier scenes have established algee as soon to break out vocal group dramatics we see them warming to follow and vandellas at local theater and his agent and friend fred jacob as shyer two boal’s well researched script has been based on interviews with and others who were present including melvin “star wars awakens” security guard from nearby store who was at algiers but powerless to intervene ndismukes’s kindness and concern tries to soften edges intolerable situation is one few subtle notes in “detroit ” and finds bitter complicated nobility in character us marine just returned from vietnam who lands at hell,2017_1160,white
143,agee,stayed on and fanned tommie reigning league rookie year to close 1 2 3 first,2017_1163,black
144,irving,team’s former star isaiah before was traded this past week to in package for kyrie that would not protest this season during anthem has not disclosed his intentions although joined lebron and other nba players in 2014 in donning shirts that “i can’t breathe’’ to protest death during encounter with new police,2017_178,white
145,williams,people waved signs “welcome baby bombers ” “dick for president ”,2017_889,white
146,kambon,“they know they have problem ” “so it goes both ways we’re looking for resources,2017_825,black
147,dimaggio,fervor that era had returned for new generation in 1940s that brief stretch glory after war when and dom and and johnny were still,2017_1163,white
148,taylor,,2017_145,white
149,monae,both actresses are authoritative company and already eccentric genius pop music has charisma born movie star,2017_1500,white
150,kate,and his siblings,2017_145,white
151,talent,”marlene and harriet northeastern students were on hand to gaze in person again at,2017_267,white
152,conigliaro,yet here were somehow in thick race even after handsome cleanup hitter seemingly on cooperstown course had been beaned on aug,2017_1023,white
153,jack,“the audiences have been so passionate and loyal ” says who lived in cambridge for years in ’60s and ’70s cutting her teeth at area coffeehouses and soaking blues at,2017_145,white
154,antonioni,went over to kenmore cinema in old cities service building now topped with rebranded neon “citgo” sign and caught hour michelangelo antonioni’s,2017_889,white
155,spell,woman married to prominent businessman has claimed that her chauffeur sterling evoking brock in “mockingbird” raped and attempted to murder her meanwhile in contrast to marshall’s activism sam in nuanced performance who has been enlisted as marshall’s counsel is shown in court helping insurance company beat claim by old woman in wheelchair,2017_1228,white
156,sox,has reported who also owns told herald that would like to rename street for retired slugger born in dominican republic,2017_98,white
157,spinale,“there’s silver lining in losing our second conference game ” coach,2017_392,white
158,folsom,today is extraordinary ”jonathan,2017_392,white
159,connolly,past goaltender brendan completed hat trick later in period after picking off weaving through flurry latin players and scoring as fell to ice converted insurance goal on two on one with sealing win for dragons added empty net goal with seven seconds left,2017_392,white
160,ed,two women dressed in pantsuits with collarless jackets was taking back to after their usual sunday routine lunch at his mother’s in supper at his mother in law’s in arlington fans,2017_1116,black
161,logan,they touted it and touted it again hoping fans would greet team in chestnut with her boyfriend and they changed their plans for dinner out with friends veering off to with them instead,2017_1116,white
162,humphrey,signaled for to warm nsantiago surrendered another single now bases were loaded minnesota threatening to blow it open before even came to with governors both senators and vice president hubert minnesota avid twins fan looking on hard to believe this was same fenway that had drawn just 461 and 409 fans to consecutive late september games two years before emerged from dugout walking slowly to mound,2017_910,white
163,poulter,24 year old british actor will “son rambo ”,2017_1160,white
164,mcadams,dragons answered early in second on breakaway goal,2017_392,white
165,yawkey,fact is was bigot who ran his baseball team accordingly one most infamous incidents in sports history occurred in 1945 at fenway,2017_1552,white
166,jackson,and it works primarily because women that it portrays and actresses who portray them you come out movie knowing who and and are,2017_1500,white
167,meng,ran across street to different gas station and asked clerk to for help,2017_1596,api
168,smith,written by starring algee,2017_1160,white
169,curry,when they visit steph and league leading 52 11 10 30 csnhd espn and 100 fm at spring training visit 1 10 mlbn and weei,2017_384,white
170,frankenthaler,hiked forested path uphill to reach study and group paintings by helen that buffer nature solitude and sweat prepared me perfectly for frankenthaler’s experiments in landscape her thin washes color that form shapes like countries on atlas,2017_1024,white
171,campbell,movie accurately depicts some other details about race that including who won men’s when bombs exploded and number people bombing killed three 8 krystle 29 and lingzi,2017_282,white
172,robinson,not only did red on signing and other blacks stars era,2017_98,white
173,feller,new announcer sherm longtime radio host and big band songwriter who had just signed on to fenway gig at $12 game leaned into now batting 25 right,2017_267,white
174,sox,portrays now retired slugger standing on mound at fenway holding microphone and declaring “this is our expletive city ”,2017_282,white
175,krasinski,surprise that mother panda and newborn daughter give some competition in star department reminding us with their cuddly lolling and munching why their kind is such attraction on zoo circuit,2017_1492,white
176,szczepanski,“you gotta be fruitcake to be out here on like this ” eddie somerville mechanic and war vet with 15 straight openers under his belt,2017_1163,white
177,guarino,senior picked off to before racing in alone on and sliding puck five hole after impressive deke,2017_392,white
178,eaton,“psst what happened now ” to jeanie gave to buzzing crowd around her in lobby during intermission radio loud enough for everyone to hear when lights flashed she plugged her earphone back in to silence radio but stopped her at door,2017_1023,white
179,skowron,let loose wild pitch bringing one run in bearing down struck out moose but ron followed with fly to right that lost in afternoon sun dropping dangerously close to his before smacking off his glove making it 5 3,2017_267,white
180,luther,they told asked minister not to lead civil rights demonstrations in birmingham ala with emotions high in that tinderbox city they cautioned that time and for marches just weren’t right,2017_1546,white
181,tillotson,is 97 senator kansas is 81 actor is 80 singer johnny is,2017_1620,white
182,harding,quiz answer nine stunning beauty who starred in “the wolf street ” has been selected to play tonya in biopic about former olympic skater,2017_394,white
183,henry,addressed foundations in his remarks to herald saying “the foundation has done lot great things over years that have nothing to with our history,2017_1101,white
184,keeler,kept ring road open critical for medical evacuations and ordered race shut down at hereford street to prevent boylston from being clogged with runners was also there in tactical gear when dzhokhar was taken into custody ”,2017_282,white
185,yawkey,apology machine has never stopped his latest biographer man named recently was quoted in saying none whatsoever that was “personally racist ”,2017_1552,white
186,levin,yet is seeing ominous spike in hateful acts against people in lgbt community in several cities including new and,2017_527,white
187,farrell,“but from personal standpoint you respect those who made ultimate sacrifice for our country,2017_178,white
188,williams,winking made sure press remembered his preseason promise,2017_267,white
189,square,atop rubble honky tonk government was nearly complete with boldly modern city,2017_267,white
190,balas,meanwhile who’d pulled his kids back quickly from teeming crowd was lamenting that they’d come this and not laid eyes on red,2017_889,hispanic
191,williams,but ex negro leaguer known for less than legal vaseline pitch came on in relief and held lead into ninth when called on don to save it,2017_267,white
192,raitt,but greater recognition would follow multiple winner and songwriters famer was awarded national arts by then president barack in 2011 presidential freedom in 2015 and was honoree in 2016 after decades hit records and were both inducted into rock and roll fame in 2000 part what makes both and endure as popular artists popular enough to fill baseball stadiums is that their voices haven’t lost inch,2017_145,white
193,smith,if tigers won nightcap they could three game playoff for pennant second ever in history league had lost league’s only other playoff in 1948 red national sports columnists couldn’t help but think about franchise’s penchant for autumnal collapse and wonder if celebrants might be wise to wait had been there in ’46 when 104 win romped to pennant but stumbled as favorites in series,2017_1023,white
194,yawkey,for 40 years red fans have flooded into fenway over stretch jersey street that was renamed in 1977 for late owner year after his death,2017_98,white
195,meng,man named dun was indeed carjacked while in mercedes benz suv as movie shows movie accurately portrays some dialogue that went on during roughly including brothers discussing how they wanted to go to new city,2017_1596,api
196,elks,recalled that during his first week spring training learned that representatives from segregated club in winter haven were handing out free guest passes to players only “right from that point knew could never be part red nation recounting story told in 2014 when spoke about,2017_338,white
197,yawkey,for 40 years red fans have flooded into fenway over stretch jersey street that was renamed in 1977 for late owner year after his death,2017_1101,white
198,perry,so be nice and with katy and pharrell tonight,2017_1431,white
199,yawkey,n“jean and yawkey’s philanthropy which has contributed more than $450 million most it to community has always been color blind ”,2017_1101,white
200,yawkey,told herald that is “haunted’’ by legacy,2017_1552,white
201,eicher,“it is not surprising that we are seeing increase in posting and distribution such symbols ” deborah catt professor communication arts and sciences at pennsylvania state university,2017_778,white
202,starkey,if or however justified shot 24 year old tarell instead showing great restraint in chasing him down that’s we’d be talking about today,2017_1357,white
203,williams,winking made sure press remembered his preseason promise,2017_475,white
204,buzhardt,swung at buzhardt’s first pitch and cracked crisp single to taking off from second,2017_1163,white
205,barnes,anthem protests seem far from their minds “i personally would not it pitcher who is,2017_178,white
206,deluca,according to,2017_1596,white
207,raitt,’s is still buttery warm baritone and has same smoky purr her 20s,2017_145,white
208,boseman,in this time intensifying acrimonious racial maybe what we could use is old fashioned courtroom drama that extols virtues justice and equality reginald hudlin’s “marshall” is reminiscent such classics as “to kill mockingbird” 1962 with touch odd couple detective story in “in heat night” 1967 based on one early cases taken by future supreme court justice thurgood when was working for film proceeds without much subtlety though with filigree witty dialogue and boseman’s panache as wry natty attorney but not every cinematic argument needs to be subtle when values defended are so fundamentally,2017_1228,white
209,ya,,2017_1492,api
210,baxter,photographer catching scene konstanty bald man with warm smile and colorful history in vending and waste removal businesses held radio and draped arm around as alan and “mouse” lally nursed cigars and leaned in expectantly to eddie knelt beside them 48 years old and merchant marine veteran,2017_889,white
211,lisa,4 year old chewing on finger 5 year old grinning beside her and,2017_1116,hispanic
212,deslauriers,‘i have reason whatsoever to believe that anything about this aspect movie is inaccurate who is longer with fbi,2017_282,white
213,ruiz,sense is,2017_627,hispanic
214,agee,stayed on and fanned tommie reigning league rookie year to close 1 2 3 first,2017_267,black
215,carew,go go go ” and “we want hit ” utilityman came to plate and delivered sending seeing eye grounder beyond reach at second,2017_910,white
216,logan,one could imagine that come july more fans would swarm to scream their names and grasp for them than had overrun airport for beatles summer before or dream that by october even police horse working crowd control outside fenway,2017_475,white
217,doerr,fervor that era had returned for new generation in 1940s that brief stretch glory after war when and dom and and johnny were still,2017_1163,white
218,logan,thought when first saw crowd and kids thinking one will believe this while their scrambled to figure out how to get to fenway from,2017_1116,white
219,ryan,slid extra puck into net shot real puck past to make it 4 3,2017_392,white
220,robinson,only did red on signing and other stars era,2017_1101,white
221,clooney,thinks he’s making hitchcock riff with added social significance beast that can’t actually exist since essence hitch was his genius for building cinematic worlds that have nothing to with real one moviegoers with and arcane memories recall “parents” 1989 darker campier but more successful tale murderous moms and dads in 1950s suburbia,2017_1155,white
222,lee,muddy and hooker among others,2017_145,white
223,presley,but those relations have improved over time ”presley her program which helps about 220 people each year has tracked increase in people seeking help because they were hate crime victims,2017_527,white
224,lu,movie accurately depicts some other details about race that including who won men’s when bombs exploded and number people bombing killed three 8 krystle 29 and lingzi,2017_1596,api
225,betts,was mookie,2017_178,white
226,bennett,none perhaps more than never publicly commented on and raising their fists to open 2016 season but has since demonstrated during anthem in training camp this summer,2017_178,white
227,maxwell,“it was really different “but atmosphere in has changed now,2017_338,white
